ID,BusinessName,AddressLine2,AddressLine3,PostCode,Longitude,Latitude
495620,Athena Greek Taverna,99 Hope Street,Glasgow,G2 6LL,-4.259448,55.86079
22941,Atrium,121 University Avenue,Glasgow,G12 8SP,-4.293732,55.874158
18898,Atrium Coffee House,58 Cresswell Street,Glasgow,G12 8AP,-4.291748,55.876576
30440,Aubergine,356 Victoria Road,Glasgow,G42 8YW,-4.264837,55.837512
129741,Aulds,55 St Enoch Square,Glasgow,,-4.25558113,55.85737272
495618,Auntie Anne's,763 Barrhead Road,Glasgow,,,
35884,Auntie M's,2 Clouston Street,Glasgow,G20 8QS,-4.2847,55.880698
36252,Avenue G Cafe,291 Byres Road,Glasgow,G12 8TL,-4.293342,55.875953
97344,Azure (Hospitality),150 Edmiston Drive,Glasgow,G51 2XD,-4.308669,55.852452
34729,Azzurro,91 Cambridge Street,Glasgow,G3 6RU,-4.259871,55.866965
145168,B and Q Cafe,21 Leggatston Road,Glasgow,G53 7RJ,-4.339161,55.802839
45097,B and Q Cafe,40 Allerdyce Road,Glasgow,G15 6RX,-4.377474,55.905094
129737,B.H.S. Plc,55 St Enoch Square,Glasgow,G1 4BW,-4.254458,55.857412
556103,Babu Bombay Street Kitchen,186 West Regent Street,Glasgow,G2 4RU,-4.261774,55.863964
466588,Babylon Cafe,9 Clyde Place,Glasgow,G5 8AA,,
35943,Back 2 Angie's,330 Duke Street,Glasgow,G31 1QZ,-4.222143,55.858171
26356,Baguette Express,297 Provan Walk,Glasgow,G34 9DY,-4.138074,55.871218
48960,Ballito Bay,16 St Andrews Street,Glasgow,G1 5PD,-4.24419,55.855308
594153,Bank Street Bar And Kitchen,54 Bank Street,Glasgow,G12 8LZ,-4.284265,55.8733
120348,Bar Soba,11 Mitchell Lane,Glasgow,G1 3LX,-4.255473,55.859487
315983,Bar Soba Byres Road,122 Byres Road,Glasgow,G12 8TB,-4.295826,55.873085
23202,Bar Ten,10 Mitchell Lane,Glasgow,G1 3NU,-4.255247,55.859995
14658,Barbarossa Restaurant,3 Clarkston Road,Glasgow,G44 4EF,-4.261659,55.817726
19559,Barca Tapas And Cava Bar,48 Buchanan Street,Glasgow,G1 3JN,-4.253456,55.859156
460413,Barclays Wealth   (3rd Floor),300 Bath Street,Glasgow,G2 4JR,-4.268847,55.865497
48941,Barolo Grill,94 Mitchell Street,Glasgow,G1 3NQ,-4.255247,55.859995
66154,Battlefield Rest,55 Battlefield Road,Glasgow,G42 9JL,-4.266264,55.827186
49111,Baxter Storey,40 Moffat Street,Glasgow,G5 0ND,-4.242554,55.847159
594128,BaxterStorey,141 Bothwell Street,Glasgow,G2 7EQ,-4.264012,55.861227
49055,Baxterstorey Ltd (Network Rail Canteen),58 Port Dundas Road,Glasgow,G4 0LQ,-4.253444,55.867227
594122,Baxterstorey Scotland Ltd.,1 Carlton Place,Glasgow,G5 9DA,-4.263942,55.8408
594121,Baxterstorey Scotland Ltd.,212 Saltmarket,Glasgow,G1 5JZ,-4.246675,55.854076
23176,BBC Scotland HQ,40 Pacific Quay,Glasgow,G51 1DA,-4.290943,55.858032
26838,BDP Ltd,15 Exchange Place,Glasgow,G1 3AN,-4.253746,55.860022
612675,Bean Machine,32 Albion Street,Glasgow,G1 1LH,-4.244412,55.857775
30419,Beanscene,1365 Argyle Street,Glasgow,G3 8AF,-4.29177,55.867723
129167,Beanscene,19 Skirving Street,Glasgow,G41 3AB,-4.280532,55.829798
10216,Beanscene,110 Battlefield Road,Glasgow,G42 9JT,-4.265146,55.826083
10642,Beanscene Ltd,40 Woodlands Road,Glasgow,G3 6UR,-4.272108,55.868241
52640,Beechwood Tavern,164 Ardmay Crescent,Glasgow,G44 4PP,-4.247809,55.823354
124689,Bella Fresca,2093 Paisley Road West,Glasgow,G52 3JH,-4.353494,55.845706
108511,Bella Italia,96 Hope Street,Glasgow,G2 6PH,-4.258318,55.860873
112543,Bella Napoli,85 Kilmarnock Road,Glasgow,G41 3YR,-4.282917,55.828531
594146,Bella Vita,597 Mosspark Boulevard,Glasgow,G52 1SB,-4.333458,55.845127
15639,Bellahouston Sports Centre (Cafe),31 Bellahouston Drive,Glasgow,G52 1HH,-4.324015,55.846159
101490,Bellgrove Hotel,607 Gallowgate,Glasgow,G40 2PG,-4.222186,55.854997
360873,Belvidere Bowling Club,23 Silverdale Street,Glasgow,G31 4LE,-4.200938,55.847138
35987,Bensons Cafe,1300 Duke Street,Glasgow,G31 4EB,-4.199841,55.853449
"26315,""Benson's Pantry (Inshops Unit 6, 7, 8)"",1300 Duke Street,Glasgow,G31 4EB,-4.199841,55.853449"
480304,Best Chippy,55 Mount Annan Drive,Glasgow,G44 4RX,-4.25474,55.823937
23319,Bibi's Cantina,599 Dumbarton Road,Glasgow,G11 6HY,-4.317637,55.870501
19699,Biggar's Cafe,273 Sauchiehall Street,Glasgow,G2 3HQ,-4.263947,55.865326
581125,Bikram Yoga Southside (and Juice Bar),32 Eastwood Avenue,Glasgow,G41 3NS,-4.286243,55.827805
26801,Biscuit,17 Skirving Street,Glasgow,G41 3AB,-4.280532,55.829798
548297,Bites 'N' Pieces,99 Rockfield Road,Glasgow,G21 3DY,-4.203947,55.889549
36251,Black Sheep Bistro,10 Clarendon Street,Glasgow,G20 7QD,-4.268495,55.872603
131310,Blackhill Bowling Club,20 Tay Crescent,Glasgow,G33 2BQ,-4.189009,55.871356
84941,Bluebird Cafe,510 Cathcart Road,Glasgow,G42 7BX,-4.25734,55.837119
108510,Bombay Blues,41 Hope Street,Glasgow,G2 6AE,-4.259536,55.859557
36487,Bonbons And Buttercream,7 Dryburgh Gardens,Glasgow,G20 6BT,-4.277453,55.87899
448741,Boots The Chemists Ltd,200 Sauchiehall Street,Glasgow,G2 3EF,-4.259931,55.865248
36149,Boyd Catering (Brookfield Construction Site),1345 Govan Road,Glasgow,G51 4TF,-4.337594,55.863985
594144,Boyd's,2121 Paisley Road West,Glasgow,G52 3JL,-4.35467,55.845612
128360,Bradfords,245 Sauchiehall Street,Glasgow,G2 3EZ,-4.262562,55.865145
480298,Brambles Catering,188 Riverford Road,Glasgow,G43 2DE,-4.288925,55.821005
49060,Bread + Butter,74 Buchanan Street,Glasgow,G1 3HA,-4.25397,55.860018
607032,Bread Meats Bread,104 St Vincent Street,Glasgow,G2 5UB,-4.255533,55.861625
56101,Brel,37 Ashton Lane,Glasgow,G12 8SJ,-4.292992,55.87463
133366,Brian Maule At Chardon D'Or,172 West Regent Street,Glasgow,,-4.26149352,55.86369468
18545,Bridgeton Community Learning Centre,68 Dale Street,Glasgow,G40 4TL,-4.222541,55.844979
29379,British Bakeries Canteen,783 Duke Street,Glasgow,G31 1LL,-4.210019,55.858803
534333,Broad Street Cafe,60 Broad Street,Glasgow,G40 2QN,-4.223796,55.850457
534357,Brooklands Café,1632 Great Western Road,Glasgow,G13 1HH,-4.324127,55.890026
77482,Broomton Community Shop,42 Broomton Road,Glasgow,G21 3RU,-4.203822,55.89693
200645,Brown's Bar and Brasserie,1 George Square,Glasgow,G2 1DY,-4.250847,55.860453
606997,Brutti Compadres,35 Virginia Street,Glasgow,G1 1TN,-4.250545,55.858544
460399,Buchanan Lodge,163 Wardie Road,Glasgow,G34 9EG,-4.120015,55.867172
607019,Bull Leader,55 Union Street,Glasgow,G1 3RB,-4.257325,55.859184
125754,Buon Giorno,1012 Pollokshaws Road,Glasgow,G41 2HG,-4.278617,55.832008
444490,Burger King,102 Union Street,Glasgow,G1 3QW,-4.256555,55.859962
511133,Burger King,6 Allerdyce Court,Glasgow,G15 6SA,-4.376618,55.902864
511132,Burger King,1 Springfield Quay,Glasgow,G5 8NP,-4.274804,55.855303
516675,Burger King,55 St Enoch Square,Glasgow,G1 4BW,-4.254458,55.857412
562673,Burger Meats Bun,48 West Regent Street,Glasgow,G2 2RA,-4.256413,55.86329
134212,Burnbank Bowling Club,235 Woodlands Road,Glasgow,G3 6NN,-4.277658,55.871302
125768,Burrell Collection (The Burrell Cafe/Restaurant),2060 Pollokshaws Road,Glasgow,G43 1AT,-4.303363,55.823261
48944,Buzzy Wares,48 Buchanan Street,Glasgow,G1 3JN,-4.253456,55.859156
460409,Byblos Cafe,6 Park Road,Glasgow,G4 9JG,-4.278703,55.873853
48674,C/o Scottish Water,419 Balmore Road,Glasgow,G22 6NU,-4.260865,55.890943
562692,Cafe,220 High Street,Glasgow,G4 0QW,-4.239688,55.860657
612651,Cafe 13,794 Govan Road,Glasgow,G51 2YL,-4.310615,55.862895
48871,Cafe Absolute,161 Byres Road,Glasgow,G12 8TS,-4.295756,55.873787
